Код дефекта по каталогу;Группа;Название дефекта;Примечание;ед. изм.;нижняя граница;верхняя граница;Категории дефекта (Б);Категории дефекта (Д);Категории дефекта (Р);Категории дефекта (Г);Рекомендуемые дополняющие пояснения и параметры дефекта в фактических единицах или в % к размерам носителя дефекта;Материал элемента, конструкции носителя дефекта, причина появления и другие дополнительные пояснения к названию дефекта;Место расположения дефекта;Количественные параметры развития;Базовый
1;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Недостаточное отверстие для пропуска водотока;Вероятность подъема воды до проезжей части не более 1%;;;;0;2;3;0;;;Автодорожный мостовой переход, Пешеходный мост;;0
1;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Недостаточное отверстие для пропуска водотока;Вероятность подъема воды до проезжей части более 1%;;;;2;2;3;0;;;Автодорожный мостовой переход, Пешеходный мост;;0
2;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Недостаточное отверстие для пропуска карчехода;Без конкретизации степени развития;;;;0;2;3;0;;;Автодорожный мостовой переход, Пешеходный мост;;0
3;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Посторонние предметы на сооружении;Без угрозы безопасности движения;;;;1;0;1;0;Конкретизация предметов;;Автодорожный мостовой переход, Пешеходный мост;;0
3;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Посторонние предметы на сооружении;С угрозой безопасности движения;;;;2;0;1;0;Конкретизация предметов;;Автодорожный мостовой переход, Пешеходный мост;;0
4;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Расстройство архитектурного элемента;Без угрозы безопасности движения;;;;0;1;1;0;Пояснение вида расстройства;;Автодорожный мостовой переход, Пешеходный мост;;0
4;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Расстройство архитектурного элемента;С угрозой безопасности движения;;;;2;0;2;0;Пояснение вида расстройства;;Автодорожный мостовой переход, Пешеходный мост;;0
5;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;"Наличие ""граффити""";Без конкретизации степени развития;;;;0;0;2;0;Площадь пораженной части носителя дефекта;;Автодорожный мостовой переход, Пешеходный мост;;0
6;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Габарит приближения конструкций не соответствует перспективам развития автодороги;Без конкретизации степени развития;;;;0;0;3;0;Пояснение перспективы развития;Дефект;Автодорожный мостовой переход, Пешеходный мост;;0
7;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Габарит приближения конструкций по высоте не соответствует нормам;Отношение фактического значения к нормативному;доля;0,99;;1;0;3;0;Фактическое значение параметра;;Автодорожный мостовой переход, Пешеходный мост;;0
